a|100000002|contest|0|100000023|100000007|100000003|
a|100000010|contest|0|100000028|100000021|100000014|
a|100000027|contest|0|100000000|100000028|100000025|
a|100000013|contest|0|100000013|100000013|100000019|
a|100000003|intro|0|100000018|100000021|100000013|
a|100000024|intro|0|100000018|100000008|100000019|
a|100000030|intro|0|100000004|100000011|100000002|
a|100000017|intro|0|100000008|100000005|100000018|
a|100000005|intro|0|100000011|100000010|100000029|
a|100000011|intro|0|100000006|100000012|100000001|
a|100000015|web|0|100000002|100000001|100000006|
a|100000029|web|0|100000022|100000022|100000020|
a|100000004|contest|1|100000000|100000027|100000013|
a|100000016|contest|1|100000022|100000009|100000005|
a|100000009|contest|1|100000003|100000008|100000022|
a|100000022|contest|1|100000003|100000029|100000009|
a|100000025|intro|1|100000011|100000027|100000018|
a|100000026|intro|1|100000028|100000000|100000004|
a|100000006|web|1|100000023|100000015|100000023|
a|100000019|web|1|100000014|100000011|100000022|
a|100000012|web|1|100000012|100000009|100000028|
a|100000001|contest|2|100000020|100000015|100000025|
a|100000020|contest|2|100000007|100000006|100000007|
a|100000014|contest|2|100000010|100000004|100000015|
a|100000018|contest|2|100000009|100000008|100000000|
a|100000008|contest|2|100000011|100000012|100000016|
a|100000023|contest|2|100000008|100000026|100000000|
a|100000007|intro|2|100000005|100000024|100000008|
a|100000021|intro|2|100000000|100000017|100000003|
a|100000028|intro|2|100000000|100000015|100000003|
peter|555555555|contest|11|123456789|-1|-1|
